Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Ocurrencias_Madrugada,Ocurrencias_Mañana,Ocurrencias_Tarde,Ocurrencias_Noche,Ocurrencias_PAGO TARJETA DE CREDITO,Ocurrencias_TRANSFER BANCOS,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes,Ocurrencias_Mitad_Mes,Ocurrencias_Principio_Mes,Hora_Mas_Frecuente,Transaccion_Mas_Frecuente,Dia_Mas_Frecuente
1599111,800.0,200.0,238.18745098039216,176.8705109151114,51,0,19,20,12,0,51,0,0,12,13,26,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599112,466.53,22.5,53.955607476635514,70.54647135817463,107,0,40,64,3,0,2,44,61,38,45,24,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1599113,730.0,104.55,180.63857142857142,205.41852811803489,28,0,14,10,4,0,28,0,0,0,17,11,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599114,1000.0,100.0,192.19736842105263,216.01721834458493,114,0,62,37,15,12,87,0,15,42,15,57,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599120,2000.0,1650.0,1325.625,733.8170533191059,32,0,13,13,6,0,32,0,0,15,11,6,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599123,2600.0,80.0,151.19168831168832,327.09032263920216,77,0,48,29,0,0,12,37,28,27,28,22,Ocurrencias_Mañana,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_Mitad_Mes
1599124,3000.0,145.0,348.49271028037384,536.3526721300785,107,0,35,48,24,24,70,0,13,30,17,60,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599126,740.0,33.0,107.64102564102564,175.12497425966032,39,0,20,19,0,0,20,0,19,8,13,18,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599135,300.0,125.0,132.81,72.74073932221789,43,0,19,14,10,10,23,10,0,26,7,10,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599141,4000.0,100.0,380.67918032786883,744.9109071522023,61,0,41,20,0,11,50,0,0,16,25,20,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599142,1100.0,425.0,498.91225806451615,294.4990939285403,31,0,2,9,20,0,31,0,0,9,12,10,Ocurrencias_Noche,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599146,390.0,51.49,85.09483870967742,100.5413528478363,31,0,12,18,1,3,8,0,20,5,15,11,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1599149,1500.0,100.0,210.7826086956522,323.22059292505054,46,0,21,10,15,0,46,0,0,10,4,32,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599151,2145.0,195.0,284.38584415584415,327.52567192641766,154,0,53,90,11,8,103,0,43,56,45,53,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599153,5000.0,65.0,252.0109852216749,534.7600111792673,203,0,75,112,16,4,67,132,0,69,63,71,Ocurrencias_Tarde,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_Principio_Mes
1599155,2000.0,300.0,429.2938144329897,398.6131431142524,97,0,27,48,22,8,34,0,55,15,39,43,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
